hypothesis_group,model_version,model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Direct first-month predictors,mean-scale,m_sensitivity_first_month_mu_phi,0,0,-1034.5216879816314,20.26774050830129,126.23172040364138,7.353220278427443,2069.043375963263,40.53548101660258
Direct first-month predictors,mean-only,m_sensitivity_first_month_mu,-25.583426330744203,4.93577756252262,-1060.1051143123766,19.012999039306692,92.07250805397751,5.457571326908305,2120.210228624753,38.025998078613384
PCA dimensionality,PC1+PC2+PC3,m_sensitivity_pca123_mu,0,0,-1059.5254198870946,19.08650199657423,91.52658800575512,5.565285111470465,2119.050839774189,38.17300399314846
PCA dimensionality,PC1+PC2,m_sensitivity_pca12_mu,-0.09115003820550704,0.5459508627356847,-1059.6165699253013,19.123806299619318,91.60489418042074,5.689029966330229,2119.2331398506026,38.247612599238636
