model,max_rhat,min_bulk_ess,min_tail_ess,divergent_transitions,treedepth_hits
m_sensitivity_first_month_mu,1.0026573489084125,1528.538780578186,1329.1524280641775,0,0
m_sensitivity_first_month_mu_phi,1.0013107031791542,1940.001171495387,1685.419504543896,0,0
m_sensitivity_pca12_mu,1.0017808959749104,2189.1552565731527,1810.8476087738213,0,0
m_sensitivity_pca123_mu,1.0014853399113681,2409.461734002754,2063.95277021647,0,0
