PC,variance_explained,cumulative_variance
PC1,0.3981934351797736,0.3981934351797736
PC2,0.2303274020586399,0.6285208372384136
PC3,0.1568053776620561,0.7853262149004696
PC4,0.10956858209352947,0.8948947969939991
PC5,0.0659918668204636,0.9608866638144627
PC6,0.039113336185537265,1
