record_id,id,scientific_name,year,start_month,end_month,can_first_month,can_full_season,lon,lat
319,250Bird2013,Centrocercus_urophasianus,1999,3,6,1,1,-110.7,49.4
320,250Bird2013,Centrocercus_urophasianus,2000,3,6,1,1,-110.7,49.4
321,250Bird2013,Centrocercus_urophasianus,2001,3,6,1,1,-110.7,49.4
322,250Bird2013,Centrocercus_urophasianus,2002,3,6,1,1,-110.7,49.4
323,250Bird2013,Centrocercus_urophasianus,2003,3,6,1,1,-110.7,49.4
324,250Bird2013,Centrocercus_urophasianus,2004,3,6,1,1,-110.7,49.4
325,250Bird2013,Centrocercus_urophasianus,2005,3,6,1,1,-110.7,49.4
326,250Bird2013,Centrocercus_urophasianus,2006,3,6,1,1,-110.7,49.4
327,148DuVal2008,Chiroxiphia_lanceolata,2000,3,7,1,1,-82.2,8.2
328,148DuVal2008,Chiroxiphia_lanceolata,2001,3,7,1,1,-82.2,8.2
329,148DuVal2008,Chiroxiphia_lanceolata,2002,3,7,1,1,-82.2,8.2
330,148DuVal2008,Chiroxiphia_lanceolata,2003,3,7,1,1,-82.2,8.2
331,148DuVal2008,Chiroxiphia_lanceolata,2004,3,7,1,1,-82.2,8.2
332,148DuVal2008,Chiroxiphia_lanceolata,2005,3,7,1,1,-82.2,8.2
333,148DuVal2008,Chiroxiphia_lanceolata,2006,3,7,1,1,-82.2,8.2
334,238Hughes2003,Gymnorhina_tibicen,1996,7,2,1,1,115.98,-31.9
335,238Hughes2003,Gymnorhina_tibicen,1997,7,2,1,1,115.98,-31.9
