population_id,n_records,n_references,id_references
Hirundo_rustica_38.83_-6.98,1,1,26Moller2003
Hirundo_rustica_42.35_-76.5,1,1,105Neuman2007
Hirundo_rustica_44.55_-76.32,1,1,184Smith1991
Hirundo_rustica_45.43_8.62,1,1,341Saino1999
Hylocichla_mustelina_41.77_-79.93,3,1,315Evans2008
Icterus_galbula_36.37_-121.55,2,1,138Richardson1999
Jynx_torquilla_51.9_11,3,1,330Wink2011
Lagopus_lagopus_59.83_-136.33,4,1,228Freeland1995
Lagopus_leucura_48.68_-113.72,3,1,136Benson2002
Lanius_bucephalus_34.57_135.53,1,1,436Yamagishi1992
Lanius_isabellinus_40.37_96.23,3,1,548Bao2019
Larus_ridibundus_48.92_17.08,1,1,388Ležalová-Piálková2011
Locustella_luscinioides_40.63_-8.68,6,1,225Neto2010
Luscinia_svecica_61.42_8.87,3,1,652Sætre2018
Luscinia_svecica_62.42_8.87,10,1,17Johnsen2003
Malurus_lamberti_-27.27_152.68,4,1,636Boersma2023
Malurus_lamberti_-34.35_139.48,4,1,644Johnson2018
Malurus_lamberti_40.75_-3.78,1,1,645Celis2012
Malurus_melanocephalus_-17.37_125.75,8,1,110Varian-Ramos2012
Malurus_splendens_-34.33_139.03,6,1,326Webster2004
Malurus_splendens_-34.35_139.5,6,1,326Webster2004
Manorina_melanocephala_-27.33_152.55,2,1,451Põldmaa1995
Megascops_asio_37.62_-84.12,1,1,411Lawless1997
Melanerpes_formicivorus_-0.37_36.08,3,1,475Wrege1987
Melospiza_melodia_44.75_-63.68,1,1,132Major2004
Morus_serrator_-39.63_177.08,1,1,569Hauber2018
Myiopsitta_monachus_-31.67_-62.82,1,1,230Martínez2013
Myiopsitta_monachus_41.39_2.17,2,1,675Dawson2025
Notiomystis_cincta_-36.6_174.88,7,1,351Brekke2013
Oenanthe_oenanthe_49.5_8.17,6,1,131Kudernatsch2010
Oenanthe_oenanthe_52.77_-4.78,1,1,137Currie1998
Pachyptila_belcheri_-51.72_-61.28,1,1,371Quillfeldt2012
Paradoxornis_webbianus_37.53_127.03,2,1,239Lee2009
Parus_ater_52.33_11,1,1,444Lubjuhn1999
Parus_ater_52.45_7.25,3,1,463Dietrich2004
Parus_caeruleus_42.52_8.77,2,1,4Charmantier2003
Parus_caeruleus_43.66_3.67,2,1,4Charmantier2003
Parus_caeruleus_51.25_4.47,4,1,50Kempenaers1997
Parus_caeruleus_53.13_6.58,1,1,350Vedder2010
Parus_caeruleus_58.87_9.6,3,1,76Krokene1998
Parus_caeruleus_59.83_17.63,1,1,14Gullberg1992
Parus_major_33.52_130.03,2,1,256Kawano2009
Parus_major_39.55_-4.33,1,1,466García-Navas2015
Parus_major_42.67_141.6,2,1,458Yuta2016
Parus_major_51.42_7.65,2,1,433Strohbach1998
Parus_major_52.15_10.32,1,1,474Winkel2001
Parus_major_52.37_11.02,1,1,445Lubjuhn2007
Parus_major_55.67_12.57,1,1,240Otter2001
Parus_major_58.87_9.6,4,1,76Krokene1998
Parus_major_59.83_17.67,1,1,14Gullberg1992
Parus_teneriffae_28.42_16.38,1,1,146Garcia-Del-Rey2012
Parus_varius_40.02_122.93,3,1,231Yin2014
Passer_ammodendri_40.37_96.23,1,1,548Bao2019
Passer_domesticus_35.7_-83.2,2,1,406Griffith1999
Passer_domesticus_35_-83,3,2,205Stewart2015; 206Stewart2006
Passer_domesticus_40.63_-4,1,1,227Veiga2000
Passer_domesticus_41.38_2.15,1,1,357Cordero1999
Passer_domesticus_47.33_-2.87,3,1,63Bichet2014
Passer_domesticus_48.17_16.3,2,2,394Vaclav2003; 395Václav2007
Passer_domesticus_51_-4,2,1,406Griffith1999
Passer_domesticus_53.07_-0.95,6,2,224Wetton1991; 357Cordero1999
Passer_montanus_46.25_20.13,1,1,177Seress2007
Passerculus_sandwichensis_44.58_-66.77,2,1,104Freeman-Gallant2005
Passerina_cyanea_35.88_-79.02,1,1,120Westneat1990
Periparus_ater_59.98_10.6,1,1,554Lifjeld2025
Petroica_australis_-34.37_119.6,3,1,432Taylor2008
Petroica_australis_-45_168,1,1,432Taylor2008
Petroica_australis_-47_168,4,1,432Taylor2008
Petronia_petronia_40.9_-4.02,4,1,577Corregidor2022
Phalacrocorax_aristotelis_56.18_-2.57,1,1,224Graves1992
Philesturnus_carunculatus_-46.9_168.1,6,1,432Taylor2008
Phoebastria_irrorata_-1.38_-89.62,4,2,259Huyvaert2000; 259Huyvaert2006
Phoenicurus_phoenicurus_62.47_11.8,2,1,346Kleven2007
Phylloscopus_trochilus_56.92_18.12,2,1,18Fridolfsson1997
Phylloscopus_trochilus_61.42_8.87,1,1,168Bjornstad1997
Pipilo_maculatus_45.5_-122.68,3,1,404Smith2016
Plectrophenax_nivalis_78.22_15.63,5,1,262Hoset2014
Pluvialis_dominica_71.29_-156.8,6,1,437Yezerinac2013
Poecile_cinctus_69.47_-29.83,6,1,544Kleven2020
Poephila_acuticauda_-15.55_128,3,1,156van Rooij2016
Poospiza_torquata_-28.05_-64.25,3,1,539Sánchez2018
Porphyrio_hochstetteri_NA_NA,1,1,319Lettink2002
