model,max_rhat,min_bulk_ess,min_tail_ess,divergent_transitions,treedepth_hits
m_main_pca_mu,1.0015900878371087,1874.9651332359622,1402.0671641916338,0,0
m_main_pca_mu_phi,1.003802762376717,1786.0419160063818,1245.3946428510224,0,0
m_main_short_mu,1.0013797223374246,2207.8211930590533,1585.747220388369,0,0
m_main_short_mu_phi,1.001107603161226,1979.8604887914344,2112.9963885074458,0,0
m_main_long_mu,1.0024217559303659,1814.438402174218,1537.368351003907,0,0
m_main_long_mu_phi,1.0016097906670505,2837.4414788489435,2234.119082723029,0,0
