Study_ID,level,Scientific_name,Common_name,Breeding_system,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,yearly_data,No,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,fam_sys_known,fam_sys_inferred,breedsys_known,breedsys_inferred,breedsys_cat,breedsys_cat1,breedsys_cat2,Female.MinMass,Female.MaxMass,,Male.MinMass,Male.MaxMass,Average.Mass,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,mono_poly_model,BS_Birdbase,Coop,Nest_type,CS_min,CS_max,cooperative_breeding,max_pa,match_source,MG_comments,Sexual selection,Data certainty,Sex-role_reversal,Territoriality,Migration,Lat_round,Long_round,population_id,breeding_system_cat,nest_type_model,breeding_system_3cat,breeding_system_model,marker_type_model,study_duration_num,nest_box_model,population_id_source,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring,parental_care_model,parental_care_binary
25Mee2004,total,Actitis_hypoleucos,common_sandpiper,monogamy,83,15.7,27,18.5,54.75,-3.02,no,DNA_fingerprinting,1998,1999,2,April,June,yes,8,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,63,0,0,0,1,0,0,Mono,Poly,mixed,MonoPoly,0,SC,3,5,NA,NA,NA,NA,1,4,0,Territorial,Strong,54.75,-3.02,Actitis_hypoleucos_54.75_-3.02,monogamy,ground,monogamy,monogamy,DNA_fingerprinting,2,no,species_coordinates,5,22,13,70,biparental,biparental
114Blomqvist2002,total,Actitis_hypoleucos,common_sandpiper,monogamy,53,7.5,15,20,57.78,12.32,no,DNA_fingerprinting,1998,2000,3,May,June,no,8,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,Actitis_hypoleucos,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,63,0,0,0,1,0,0,Mono,Poly,mixed,MonoPoly,0,SC,3,5,NA,NA,NA,NA,1,4,0,Territorial,Strong,57.78,12.32,Actitis_hypoleucos_57.78_12.32,monogamy,ground,monogamy,monogamy,DNA_fingerprinting,3,no,species_coordinates,3,12,4,49,biparental,biparental
301Koopman2007,total,Aegolius_funereus,boreal_owl,monogamy,109,0,32,0,NA,39.9,no,microsatellite,1995,2001,7,NA,NA,no,9,Aegolius_funereus,Aegolius_funereus,Aegolius_funereus,Aegolius_funereus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,100,215,,90,146,137.75,0,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,CV,3,6,NA,NA,NA,NA,1,4,0,Territorial,Weak,NA,39.9,Aegolius_funereus_301Koopman2007,monogamy,cavity,monogamy,monogamy,microsatellite,7,no,species_study_id_missing_coordinates,0,32,0,109,biparental,biparental
191Liu2015,total,Agelaius_phoeniceus,red-winged_blackbird,monogamy,125,25.6,40,50,42.4,-85.4,no,microsatellite,2004,2005,2,March,June,no,10,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,34.5,63.6,,55.4,72.1,56.4,0,0,0,0,0,0,NA,Poly,polygamy,Poly,0,CP,2,4,no,0,Clements_name,NA,3,4,0,Territorial,Strong,42.4,-85.4,Agelaius_phoeniceus_42.4_-85.4,monogamy,open,monogamy,monogamy,microsatellite,2,no,species_coordinates,20,20,32,93,biparental,biparental
191Liu2015,single-year,Agelaius_phoeniceus,red-winged_blackbird,monogamy,87,26.4,27,48.1,41.55,-80.18,no,microsatellite,2009,2009,1,NA,NA,single-year study,10,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,34.5,63.6,,55.4,72.1,56.4,0,0,0,0,0,0,NA,Poly,polygamy,Poly,0,CP,2,4,no,0,Clements_name,NA,3,4,0,Territorial,Strong,41.55,-80.18,Agelaius_phoeniceus_41.55_-80.18,monogamy,open,monogamy,monogamy,microsatellite,1,no,species_coordinates,13,14,23,64,biparental,biparental
191Liu2015,single-year,Agelaius_phoeniceus,red-winged_blackbird,monogamy,56,28.6,20,50,26.53,-78.53,no,microsatellite,2011,2011,1,NA,NA,single-year study,10,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,34.5,63.6,,55.4,72.1,56.4,0,0,0,0,0,0,NA,Poly,polygamy,Poly,0,CP,2,4,no,0,Clements_name,NA,3,4,0,Territorial,Strong,26.53,-78.53,Agelaius_phoeniceus_26.53_-78.53,monogamy,open,monogamy,monogamy,microsatellite,1,no,species_coordinates,10,10,16,40,biparental,biparental
121Westneat1993,total,Agelaius_phoeniceus,red-winged_blackbird,monogamy,235,24.7,68,41.2,42.5,-76.47,no,DNA_fingerprinting,1988,1989,2,April,June,no,10,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,34.5,63.6,,55.4,72.1,56.4,0,0,0,0,0,0,NA,Poly,polygamy,Poly,0,CP,2,4,no,0,Clements_name,NA,3,4,0,Territorial,Strong,42.5,-76.47,Agelaius_phoeniceus_42.5_-76.47,monogamy,open,monogamy,monogamy,DNA_fingerprinting,2,no,species_coordinates,28,40,58,177,biparental,biparental
361 Weatherhead1995,total,Agelaius_phoeniceus,red-winged_blackbird,monogamy,617,25.6,203,NA,44.52,-76.37,no,DNA_fingerprinting,1986,1991,6,April,June,no,10,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,34.5,63.6,,55.4,72.1,56.4,0,0,0,0,0,0,NA,Poly,polygamy,Poly,0,CP,2,4,no,0,Clements_name,NA,3,4,0,Territorial,Strong,44.52,-76.37,Agelaius_phoeniceus_44.52_-76.37,monogamy,open,monogamy,monogamy,DNA_fingerprinting,6,no,species_coordinates,NA,NA,158,459,biparental,biparental
152Gray1996,total,Agelaius_phoeniceus,red-winged_blackbird,monogamy,403,33.7,134,53.7,46.88,-119.25,no,DNA_fingerprinting,1990,1992,3,March,June,no,10,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,34.5,63.6,,55.4,72.1,56.4,0,0,0,0,0,0,NA,Poly,polygamy,Poly,0,CP,2,4,no,0,Clements_name,NA,3,4,0,Territorial,Strong,46.88,-119.25,Agelaius_phoeniceus_46.88_-119.25,monogamy,open,monogamy,monogamy,DNA_fingerprinting,3,no,species_coordinates,72,62,136,267,biparental,biparental
191Liu2015,total,Agelaius_xanthomus,yellow-shouldered_blackbird,monogamy,87,23,30,36.7,17.93,-67.1,yes,microsatellite,2012,2012,1,May,June,single-year study,11,Agelaius_xanthomus,Agelaius_xanthomus,Agelaius_xanthomus,Agelaius_xanthomus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,32.7,38.3,,39.1,43.7,38.44,0,0,0,0,0,0,Mono,NA,monogamy,Mono,0,"PL,CV,CP",1,4,NA,NA,NA,NA,1,4,0,Territorial,Weak,17.93,-67.1,Agelaius_xanthomus_17.93_-67.1,monogamy,cavity,monogamy,monogamy,microsatellite,1,yes,species_coordinates,11,19,20,67,biparental,biparental
