"locality","locality_lat","locality_lon","location_ids","population_ids","species","n_model_records","n_populations","n_species","assigned_cru_cell_lat","assigned_cru_cell_lon","locality_to_cell_distance_km","max_abs_difference_temperature_C","max_abs_difference_precipitation_mm","mapping_evidence"
"38.570000, -119.030000",38.57,-119.03,"138","Zonotrichia_leucophrys_38.57_-119.03","Zonotrichia_leucophrys",3,1,1,38.75,-119.25,27.6676849188262,1.46972567449666e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"38.830000, -6.980000",38.83,-6.98,"39","Hirundo_rustica_38.83_-6.98","Hirundo_rustica",1,1,1,38.75,-6.75,21.8290228562916,0,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.080000, -96.580000",39.08,-96.58,"82","Bartramia_longicauda_39.08_-96.58","Bartramia_longicauda",5,1,1,39.25,-96.75,23.9193060190427,2.93945134899332e-09,4.47265620096005e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.231100, -75.981900",39.2311,-75.9819,"200","Ammodramus_savannarum_39.23_-75.98","Ammodramus_savannarum",5,1,1,39.25,-75.75,20.0815523902972,2.20459028810183e-09,2.58789043527941e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.400000, 141.990000",39.4,141.99,"215","Calonectris_leucomelas_39.4_141.99","Calonectris_leucomelas",3,1,1,39.25,141.75,26.5399649677875,3.67431418624165e-10,4.47265620096005e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"39.550000, -4.330000",39.55,-4.33,"51","Parus_major_39.55_-4.33","Parus_major",1,1,1,39.75,-4.25,23.2698444475961,1.46972567449666e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.000000, -3.000000",40,-3,"213","Ficedula_hypoleuca_40_-3","Ficedula_hypoleuca",5,1,1,39.75,-2.75,35.041543274807,1.46972567449666e-09,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.020000, 122.930000",40.02,122.93,"127","Sittiparus_varius_40.02_122.93","Sittiparus_varius",3,1,1,40.25,122.75,29.8031447361649,7.90710830145258e-11,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.500000, -4.000000",40.5,-4,"185","Sturnus_unicolor_40.5_-4","Sturnus_unicolor",2,1,1,40.25,-3.75,34.9465809156409,1.46972567449666e-09,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.630000, -8.680000",40.63,-8.68,"115","Locustella_luscinioides_40.63_-8.68","Locustella_luscinioides",6,1,1,40.75,-8.75,14.5903893523582,2.20459028810183e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.750000, -3.783300",40.75,-3.7833,"195","Malurus_lamberti_40.75_-3.78; Sturnus_unicolor_40.75_-3.78","Malurus_lamberti; Sturnus_unicolor",3,2,2,40.75,-3.75,2.80510870722688,3.67431418624165e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.800000, -4.020000",40.8,-4.02,"29","Ficedula_hypoleuca_40.8_-4.02","Ficedula_hypoleuca",3,1,1,40.75,-4.25,20.1495504345089,2.20459028810183e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.900000, -4.016700",40.9,-4.0167,"199","Cyanistes_caeruleus_40.9_-4.02","Cyanistes_caeruleus",1,1,1,40.75,-4.25,25.7594729408775,0,1.1816396749964e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"40.980000, -124.000000",40.98,-124,"90","Cyanocitta_stelleri_40.98_-124","Cyanocitta_stelleri",3,1,1,40.75,-123.75,33.1064112544903,3.67431418624165e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"41.070000, -3.450000",41.07,-3.45,"105","Ficedula_hypoleuca_41.07_-3.45","Ficedula_hypoleuca",2,1,1,41.25,-3.25,26.0947950491417,4.69727368113126e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"41.350000, -0.180000",41.35,-0.18,"27","Falco_naumanni_41.35_-0.18","Falco_naumanni",1,1,1,41.25,-0.25,12.5633448976924,0,1.1816396749964e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"41.380000, 2.150000",41.38,2.15,"57","Passer_domesticus_41.38_2.15","Passer_domesticus",1,1,1,41.25,2.25,16.6945899247307,7.34862837248329e-10,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"41.390000, 2.170000",41.39,2.17,"205","Myiopsitta_monachus_41.39_2.17","Myiopsitta_monachus",2,1,1,41.25,2.25,16.9403521246853,7.34862837248329e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"41.770000, -79.930000",41.77,-79.93,"100","Empidonax_virescens_41.77_-79.93; Hylocichla_mustelina_41.77_-79.93; Setophaga_ruticilla_41.77_-79.93","Empidonax_virescens; Hylocichla_mustelina; Setophaga_ruticilla",9,3,3,41.75,-79.75,15.0948155836406,7.34862837248329e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"42.270000, -83.730000",42.27,-83.73,"12","Haemorhous_mexicanus_42.27_-83.73","Haemorhous_mexicanus",1,1,1,42.25,-83.75,2.76672408906381,0,1.46972567449666e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"42.350000, -76.500000",42.35,-76.5,"40","Hirundo_rustica_42.35_-76.5","Hirundo_rustica",1,1,1,42.25,-76.25,23.3750017349728,2.20459028810183e-09,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"42.468600, -76.449200",42.4686,-76.4492,"231","Troglodytes_aedon_42.47_-76.45","Troglodytes_aedon",1,1,1,42.25,-76.25,29.304160588982,2.65137245492042e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"42.520000, 8.770000",42.52,8.77,"120","Cyanistes_caeruleus_42.52_8.77","Cyanistes_caeruleus",2,1,1,42.75,8.75,25.6271470607312,4.40918057620365e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"42.670000, 141.600000",42.67,141.6,"126","Parus_major_42.67_141.6","Parus_major",2,1,1,42.75,141.75,15.1439017694197,2.20459028810183e-09,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"43.000000, -119.000000",43,-119,"136","Tyrannus_tyrannus_43_-119","Tyrannus_tyrannus",3,1,1,42.75,-118.75,34.464318185341,1.46972567449666e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"43.000000, -84.000000",43,-84,"83","Branta_canadensis_43_-84","Branta_canadensis",3,1,1,42.75,-83.75,34.464318185341,3.67431418624165e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"43.160000, -124.410000",43.16,-124.41,"139","Zonotrichia_leucophrys_43.16_-124.41","Zonotrichia_leucophrys",3,1,1,43.25,-124.25,16.3806147271908,1.46972567449666e-09,4.47265620096005e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"43.530000, -80.230000",43.53,-80.23,"11","Spinus_tristis_43.53_-80.23","Spinus_tristis",1,1,1,43.75,-80.25,24.5158019985734,2.20459028810183e-09,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"43.660000, 3.670000",43.66,3.67,"121","Cyanistes_caeruleus_43.66_3.67","Cyanistes_caeruleus",2,1,1,43.75,3.75,11.8955875257892,2.20459028810183e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"44.570000, -76.320000",44.57,-76.32,"61","Tachycineta_bicolor_44.57_-76.32; Vermivora_chrysoptera_44.57_-76.32","Tachycineta_bicolor; Vermivora_chrysoptera",2,2,2,44.75,-76.25,20.7667249341325,2.65136357313622e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"44.580000, -66.770000",44.58,-66.77,"160","Tachycineta_bicolor_44.58_-66.77","Tachycineta_bicolor",1,1,1,44.75,-66.75,18.9692217521503,0,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"44.616700, -63.566700",44.6167,-63.5667,"207","Sturnus_vulgaris_44.62_-63.57","Sturnus_vulgaris",4,1,1,44.75,-63.75,20.7294534862406,3.67431418624165e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"44.700000, -76.200000",44.7,-76.2,"191","Tachycineta_bicolor_44.7_-76.2","Tachycineta_bicolor",2,1,1,44.75,-76.25,6.82016508832631,2.93945134899332e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"44.750000, -63.680000",44.75,-63.68,"45","Melospiza_melodia_44.75_-63.68","Melospiza_melodia",1,1,1,44.75,-63.75,5.52783821722231,1.02295061310542e-10,4.47265620096005e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"45.070000, -67.030000",45.07,-67.03,"180","Setophaga_ruticilla_45.07_-67.03","Setophaga_ruticilla",3,1,1,45.25,-67.25,26.4225220209739,1.46972567449666e-09,3.51562334799382e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"45.430000, 8.620000",45.43,8.62,"38","Hirundo_rustica_45.43_8.62","Hirundo_rustica",1,1,1,45.25,8.75,22.4464520851994,7.34862837248329e-10,1.46972567449666e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"46.000000, 6.000000",46,6,"184","Strix_aluco_46_6","Strix_aluco",1,1,1,45.75,6.25,33.8726287919368,7.90710275033746e-11,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"46.250000, 20.130000",46.25,20.13,"159","Passer_montanus_46.25_20.13","Passer_montanus",1,1,1,46.25,20.25,9.22714108642393,2.65136357313622e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"46.330000, 7.670000",46.33,7.67,"59","Upupa_epops_46.33_7.67","Upupa_epops",1,1,1,46.25,7.75,10.8128007507282,7.90710275033746e-11,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"46.910000, 23.910000",46.91,23.91,"203","Rallus_aquaticus_46.91_23.91","Rallus_aquaticus",1,1,1,46.75,23.75,21.5566126621221,7.34862837248329e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"47.000000, 8.000000",47,8,"98","Emberiza_schoeniclus_47_8","Emberiza_schoeniclus",4,1,1,46.75,8.25,33.6731903257084,4.90116114360006e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"47.991900, 17.336700",47.9919,17.3367,"217","Alcedo_atthis_47.99_17.34","Alcedo_atthis",3,1,1,47.75,17.25,27.6645691490809,2.65137245492042e-10,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"48.133300, 10.883300",48.1333,10.8833,"206","Cyanistes_caeruleus_48.13_10.88","Cyanistes_caeruleus",1,1,1,48.25,10.75,16.3102958298962,3.67431418624165e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"48.170000, 16.300000",48.17,16.3,"156","Passer_domesticus_48.17_16.3","Passer_domesticus",1,1,1,48.25,16.25,9.63634126761029,3.67431418624165e-10,1.46972567449666e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"48.300000, 21.080000",48.3,21.08,"179","Riparia_riparia_48.3_21.08","Riparia_riparia",1,1,1,48.25,21.25,13.7548251917748,0,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"48.620000, -99.080000",48.62,-99.08,"7","Mareca_strepera_48.62_-99.08","Mareca_strepera",1,1,1,48.75,-99.25,19.0972088458469,2.04590122621084e-10,2.20459028810183e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"48.680000, -113.720000",48.68,-113.72,"114","Lagopus_leucura_48.68_-113.72","Lagopus_leucura",3,1,1,48.75,-113.75,8.08886552496357,4.69727368113126e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"48.920000, 17.080000",48.92,17.08,"43","Chroicocephalus_ridibundus_48.92_17.08","Chroicocephalus_ridibundus",1,1,1,48.75,17.25,22.6306841136271,0,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"49.150000, 14.720000",49.15,14.72,"6","Anas_platyrhynchos_49.15_14.72","Anas_platyrhynchos",1,1,1,49.25,14.75,11.3311344845457,2.65137245492042e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"49.500000, 8.170000",49.5,8.17,"118","Oenanthe_oenanthe_49.5_8.17","Oenanthe_oenanthe",2,1,1,49.25,8.25,28.395745288487,7.34862837248329e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"49.670000, 10.850000",49.67,10.85,"76","Acrocephalus_arundinaceus_49.67_10.85","Acrocephalus_arundinaceus",5,1,1,49.75,10.75,11.4383175728598,7.34862837248329e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"50.100000, 20.400000",50.1,20.4,"103","Ficedula_albicollis_50.1_20.4","Ficedula_albicollis",4,1,1,50.25,20.25,19.8067078885635,7.34862837248329e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"51.000000, -4.000000",51,-4,"129","Passer_domesticus_51_-4","Passer_domesticus",2,1,1,50.75,-3.75,32.8705057300517,2.65137245492042e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"51.250000, 4.470000",51.25,4.47,"122","Cyanistes_caeruleus_51.25_4.47","Cyanistes_caeruleus",4,1,1,51.25,4.25,15.3119086350084,4.69727368113126e-10,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"51.420000, 7.650000",51.42,7.65,"125","Parus_major_51.42_7.65","Parus_major",2,1,1,51.25,7.75,20.1393004672593,3.67431418624165e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"51.450000, -0.550000",51.45,-0.55,"79","Acrocephalus_schoenobaenus_51.45_-0.55","Acrocephalus_schoenobaenus",6,1,1,51.25,-0.75,26.2201149437837,1.46972567449666e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"51.730000, 18.630000",51.73,18.63,"16","Chlidonias_hybrida_51.73_18.63","Chlidonias_hybrida",1,1,1,51.75,18.75,8.55670219426679,7.34862837248329e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"51.750000, 4.750000",51.75,4.75,"97","Emberiza_schoeniclus_51.75_4.75","Emberiza_schoeniclus",2,1,1,51.75,4.75,0,2.65136357313622e-10,1.46972567449666e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"51.900000, 11.000000",51.9,11,"112","Jynx_torquilla_51.9_11","Jynx_torquilla",3,1,1,51.75,11.25,23.9457520732715,0,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"52.030000, 5.850000",52.03,5.85,"35","Ficedula_hypoleuca_52.03_5.85","Ficedula_hypoleuca",1,1,1,52.25,5.75,25.3969826304722,7.34862837248329e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"52.150000, 10.320000",52.15,10.32,"54","Parus_major_52.15_10.32","Parus_major",1,1,1,52.25,10.25,12.0996939898989,0,1.75781167399691e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
