"locality","locality_lat","locality_lon","location_ids","population_ids","species","n_model_records","n_populations","n_species","assigned_cru_cell_lat","assigned_cru_cell_lon","locality_to_cell_distance_km","max_abs_difference_temperature_C","max_abs_difference_precipitation_mm","mapping_evidence"
"59.170000, 15.420000",59.17,15.42,"78","Acrocephalus_schoenobaenus_59.17_15.42","Acrocephalus_schoenobaenus",3,1,1,59.25,15.25,13.1439818546084,1.46972567449666e-09,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"59.830000, -136.330000",59.83,-136.33,"113","Lagopus_lagopus_59.83_-136.33","Lagopus_lagopus",4,1,1,59.75,-136.25,9.95823467668846,3.67431418624165e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"59.830000, 17.630000",59.83,17.63,"49","Cyanistes_caeruleus_59.83_17.63","Cyanistes_caeruleus",1,1,1,59.75,17.75,11.1449410693468,3.16284332058103e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"59.830000, 17.670000",59.83,17.67,"33","Ficedula_hypoleuca_59.83_17.67; Parus_major_59.83_17.67","Ficedula_hypoleuca; Parus_major",2,2,2,59.75,17.75,9.9582346766881,3.16284332058103e-10,4.40918057620365e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"59.970000, 10.780000",59.97,10.78,"32","Ficedula_hypoleuca_59.97_10.78","Ficedula_hypoleuca",1,1,1,59.75,10.75,24.5201929959563,0,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"59.980000, 10.630000",59.98,10.63,"30","Ficedula_hypoleuca_59.98_10.63","Ficedula_hypoleuca",1,1,1,59.75,10.75,26.4376385818086,7.34862837248329e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"59.983300, 10.600000",59.9833,10.6,"229","Periparus_ater_59.98_10.6","Periparus_ater",1,1,1,59.75,10.75,27.2596324248014,1.02295061310542e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"60.380000, 10.520000",60.38,10.52,"18","Cinclus_cinclus_60.38_10.52","Cinclus_cinclus",1,1,1,60.25,10.75,19.2190220406407,1.58142166029052e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"61.416700, 8.866700",61.4167,8.8667,"197","Luscinia_svecica_61.42_8.87","Luscinia_svecica",3,1,1,61.25,8.75,19.5535541643585,3.67431418624165e-10,4.82421853575943e-08,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"61.420000, 8.870000",61.42,8.87,"19","Delichon_urbicum_61.42_8.87; Phylloscopus_trochilus_61.42_8.87","Delichon_urbicum; Phylloscopus_trochilus",2,2,2,61.25,8.75,19.9573997106379,4.69727368113126e-10,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"62.420000, 8.870000",62.42,8.87,"116","Luscinia_svecica_62.42_8.87","Luscinia_svecica",10,1,1,62.25,8.75,19.8925044217445,4.7442627604255e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"62.470000, 11.800000",62.47,11.8,"168","Phoenicurus_phoenicurus_62.47_11.8","Phoenicurus_phoenicurus",2,1,1,62.25,11.75,24.5985117106709,3.67431418624165e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"62.620000, 26.330000",62.62,26.33,"34","Ficedula_hypoleuca_62.62_26.33","Ficedula_hypoleuca",2,1,1,62.75,26.25,15.0206646746976,2.04590122621084e-10,2.93945134899332e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"62.980000, 22.830000",62.98,22.83,"102","Falco_tinnunculus_62.98_22.83","Falco_tinnunculus",2,1,1,62.75,22.75,25.8946783884831,3.67431418624165e-10,1.1816396749964e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"64.330000, -164.930000",64.33,-164.93,"9","Calidris_mauri_64.33_-164.93","Calidris_mauri",1,1,1,64.25,-164.75,12.4307708375429,3.16284332058103e-10,4.12109102398972e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"67.230000, -100.270000",67.23,-100.27,"15","Anser_caerulescens_67.23_-100.27; Anser_rossii_67.23_-100.27","Anser_caerulescens; Anser_rossii",2,2,2,67.25,-100.25,2.38452641941569,1.02295061310542e-10,1.46972567449666e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"71.290000, -156.800000",71.29,-156.8,"172","Pluvialis_dominica_71.29_-156.8","Pluvialis_dominica",6,1,1,71.25,-156.75,4.79272340779503,3.67431418624165e-10,1.46972567449666e-09,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
"78.920000, 11.900000",78.92,11.9,"8","Branta_leucopsis_78.92_11.9","Branta_leucopsis",1,1,1,78.75,11.75,19.1770668328282,0,0,"CRU TS v4.09 cell reproducing stored first-month TMP and PRE"
